CensusTract,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Population,County
42107003600,0,0,0,0,5.2,626,12110,Lawrence County
42107003700,0,0,0,0,8.7,1147,13187,Lawrence County
42107003800,0,0,0,0,14.3,620,4331,Lawrence County
42107003900,0,0,0,0,7.3,788,10858,Lawrence County
42109070100,0,0,0,0,5,1062,21110,Lawrence County
42109070200,0,0,0,0,12,2141,17913,Lawrence County
42109070300,0,0,0,1,14.9,2213,14877,Lawrence County
42109070400,0,0,0,0,8.1,1793,22260,Lawrence County
42109070500,1,1,0,1,14.4,1548,10769,Lawrence County
42109070600,0,0,0,0,11.9,1868,15673,Lawrence County
42109070701,0,1,0,1,8.5,1083,12734,Lawrence County
42109980705,0,0,0,0,0,18,0,Lawrence County
42111020101,0,0,0,1,5.9,581,9877,Somerset County
42111020102,0,0,0,1,8.1,1629,20208,Somerset County
42111020200,0,0,0,0,5,1031,20793,Somerset County
42111020300,0,1,0,1,27.2,2012,7392,Somerset County
42111020400,0,0,0,1,11.7,1273,10896,Somerset County
42111020500,0,0,0,1,9.7,1096,11299,Somerset County
42111020600,0,0,0,1,12.8,2044,15971,Somerset County
42111020700,0,0,0,0,7,690,9815,Somerset County
42111020800,1,1,1,1,5.8,956,16447,Somerset County
42111020900,0,0,0,0,10,1420,14187,Somerset County
42111021000,0,0,0,0,14.4,1375,9563,Somerset County
42111021100,1,1,1,1,37.6,869,2310,Somerset County
42111021200,0,0,0,0,11.2,659,5861,Somerset County
42111021300,0,0,0,0,9.3,903,9712,Somerset County
42111021400,0,0,0,0,12.7,1421,11205,Somerset County
42111021500,0,0,0,1,17.6,1085,6159,Somerset County
42111021600,1,1,1,1,19.8,854,4321,Somerset County
42111021700,0,0,0,0,17,1131,6660,Somerset County
42111021800,0,0,0,0,8,933,11695,Somerset County
42111021901,0,0,0,1,9.6,681,7115,Somerset County
42111021902,0,0,0,1,17.7,923,5227,Somerset County
42113960100,0,0,0,1,15.9,1415,8873,Somerset County
42113960200,0,0,0,0,9.8,767,7791,Somerset County
42115032000,0,0,0,0,10.9,760,6945,Somerset County
42115032100,0,0,0,0,14.7,1185,8073,Somerset County
42115032200,1,1,1,1,16.5,1664,10109,Somerset County
42115032300,1,1,1,1,17.5,1659,9492,Somerset County
42115032400,0,0,0,0,10.5,1149,10926,Somerset County
42115032500,0,0,0,0,9.4,1183,12528,Somerset County
42115032600,0,0,0,0,10.2,1274,12548,Somerset County
42115032700,0,0,0,1,11.5,1026,8925,Somerset County
42115032800,0,0,0,0,10.4,1489,14349,Somerset County
42115032901,0,0,0,0,12.4,1109,8979,Somerset County
42115032902,1,1,1,1,11.8,862,7304,Somerset County
42117950100,0,0,0,0,8.1,1372,16916,Somerset County
42117950200,0,0,0,1,14.7,1455,9892,Somerset County
42117950300,0,0,0,1,19.2,1670,8694,Somerset County
42117950400,0,0,0,1,11.9,1255,10509,Somerset County
42117950500,0,0,0,0,9.3,1300,14026,Somerset County
42117950600,1,1,1,1,25.2,2341,9279,Somerset County
42117950700,0,0,0,1,17.7,1817,10245,Somerset County
42117950800,0,0,0,0,7,988,14074,Somerset County
42117950900,0,0,0,0,9.4,957,10153,Somerset County
42117951000,1,1,0,1,14.1,1239,8798,Somerset County
42119090102,0,0,0,1,22.2,2373,10679,Somerset County
42119090200,0,0,0,0,10.1,2044,20322,Somerset County
42119090300,0,0,0,0,12.5,1172,9397,Somerset County
42119090400,0,0,0,0,5.8,1026,17658,Somerset County
42119090502,0,0,0,0,6.8,1652,24125,Somerset County
42119090600,0,0,0,0,5.1,1028,20354,Somerset County
42119090700,0,1,0,1,18.7,1511,8072,Somerset County
42119980101,0,0,0,0,0,9,0,Somerset County
42119980501,0,0,0,0,0,0,0,Somerset County
42119980800,0,0,0,0,0,0,0,Somerset County
42121200000,0,0,0,1,12.4,1032,8353,Somerset County
42121200100,0,0,0,0,9.7,1010,10395,Somerset County
42121200200,0,0,0,0,10.5,1675,15935,Somerset County
42121200300,0,1,0,1,16.9,708,4200,Somerset County
42121200400,1,1,1,1,17.4,1071,6172,Somerset County
42121200500,0,1,0,1,20.3,782,3845,Somerset County
42121200600,0,0,0,1,10.7,1621,15085,Somerset County
42121200700,0,1,0,1,36.2,1382,3821,Somerset County
42121200800,0,0,0,0,6.7,645,9591,Somerset County
42121200900,0,0,0,1,24.3,1462,6020,Somerset County
42121201000,1,1,1,1,22.1,1474,6667,Somerset County
42121201100,0,0,0,0,7.7,1245,16199,Somerset County
42121201200,0,0,0,0,9.7,814,8385,Somerset County
42121201300,0,0,0,0,16.1,963,5990,Somerset County
42121201400,0,0,0,0,13,1192,9173,Somerset County
42121201500,0,0,0,0,9.8,962,9826,Somerset County
42123970100,0,0,0,0,14.3,719,5035,Somerset County
42123970200,0,0,0,0,5.3,970,18328,Somerset County
42123970300,0,0,0,1,14.6,2152,14742,Somerset County
42123970400,0,0,0,1,14.2,1037,7313,Somerset County
42123970500,1,1,1,1,13.2,1160,8796,Somerset County
42123970600,0,0,0,1,14.1,1047,7436,Somerset County
