CensusTract,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,zip,Shortage_PF
42003424000,1,3446,1641,0,10,0.29,1,1,1,1,1,1,19.3,48355,1,1,1,1,1,0,0,1,1430,715,578,2994,232,59,1,7,153,115,372,444,15215,2.717171717
42003426700,1,2361,1141,0,4,0.17,0,0,0,0,0,0,4.5,79306,0,1,0,1,0,0,0,0,404,345,446,2239,24,69,0,0,29,17,22,58,15215,2.717171717
42003980000,1,540,304,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,80,62,432,21,81,0,1,5,7,0,0,15215,2.717171717
42003070500,1,2997,1831,0,11,0.37,0,0,0,0,0,1,25.3,102917,0,0,0,0,0,0,0,0,1264,141,152,2288,132,492,2,2,81,90,289,9,15206,0.188344042
42003070600,1,2082,1288,0,13,0.62,0,0,0,0,0,0,15,113173,0,0,0,0,0,0,0,0,538,152,236,1724,55,249,0,3,51,65,356,10,15206,0.188344042
42003070800,1,1705,1021,0,17,1,0,0,0,0,0,0,19,88281,0,0,0,0,0,0,0,0,902,160,156,1265,84,306,1,1,48,63,207,17,15206,0.188344042
42003080600,1,1998,1112,0,6,0.3,0,0,0,0,0,0,10.7,126488,0,0,0,0,0,0,0,0,552,211,172,1643,172,128,0,3,52,54,154,30,15206,0.188344042
42003080700,1,1785,1071,0,89,4.99,0,0,0,0,0,1,21.2,53185,0,0,0,0,0,0,0,0,824,184,147,1120,362,226,0,13,64,76,311,123,15206,0.188344042
42003080900,1,1767,963,0,68,3.85,0,0,0,0,0,0,8.8,83882,0,0,0,0,0,0,0,0,427,154,213,1352,246,92,1,4,72,48,209,64,15206,0.188344042
42003100500,1,2079,915,0,48,2.31,0,0,0,0,1,0,12.5,78500,0,1,0,1,0,0,0,1,480,437,402,600,1397,13,0,1,68,17,201,133,15206,0.188344042
