,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Risk_Level,Shortage_PF
16115,5737.0,0.0,0.0,0.0,0.0,2819.0,12728.0,0.0,0.49137179710650164
16117,21844.0,0.0,1.0,0.0,1.0,7106.0,23857.0,3.0,0.3253067203808826
16120,517.0,0.0,0.0,0.0,0.0,1976.0,9164.0,0.0,3.8220502901353965
16132,1137.0,0.0,0.0,0.0,0.0,838.0,3447.0,0.0,0.7370272647317502
16141,907.0,0.0,0.0,0.0,1.0,2931.0,12594.0,0.0,3.231532524807056
16143,817.0,0.0,0.0,0.0,0.0,1551.0,7105.0,0.0,1.8984088127294982
16156,11.0,0.0,0.0,0.0,0.0,2488.0,12087.0,0.0,226.1818181818182
16201,15982.0,0.0,1.0,0.0,1.0,12346.0,36550.0,3.0,0.7724940558127894
16229,3199.0,1.0,1.0,1.0,1.0,4708.0,22434.0,2.0,1.4717099093466708
16646,2367.0,1.0,1.0,1.0,1.0,2730.0,10810.0,2.0,1.1533586818757922
17109,1008.0,,,,,,,,
15006,,0.0,0.0,0.0,0.0,989.0,6883.0,0.0,
15007,,0.0,0.0,0.0,0.0,622.0,4325.0,0.0,
15009,,1.0,1.0,1.0,1.0,7455.0,33676.0,2.0,
15012,,1.0,1.0,1.0,1.0,4132.0,17690.0,2.0,
15015,,0.0,0.0,0.0,0.0,928.0,7145.0,0.0,
15017,,0.0,1.0,0.0,1.0,6381.0,45109.0,3.0,
15018,,0.0,0.0,0.0,0.0,2213.0,13839.0,0.0,
15019,,0.0,0.0,0.0,1.0,3982.0,15414.0,0.0,
15020,,0.0,0.0,0.0,0.0,677.0,3771.0,0.0,
15021,,0.0,0.0,0.0,0.0,4306.0,18312.0,0.0,
15026,,0.0,0.0,0.0,0.0,3392.0,15590.0,0.0,
15027,,1.0,1.0,1.0,1.0,1830.0,7267.0,2.0,
15028,,0.0,0.0,0.0,0.0,1248.0,6425.0,0.0,
15030,,0.0,0.0,0.0,0.0,423.0,1362.0,0.0,
15031,,0.0,0.0,0.0,0.0,1172.0,7251.0,0.0,
15032,,0.0,0.0,0.0,0.0,1302.0,4680.0,0.0,
15038,,0.0,0.0,0.0,0.0,1780.0,8646.0,0.0,
15042,,1.0,1.0,1.0,1.0,4453.0,24157.0,2.0,
15043,,0.0,0.0,0.0,0.0,2095.0,10332.0,0.0,
15044,,0.0,0.0,0.0,0.0,9000.0,67751.0,0.0,
15046,,0.0,0.0,0.0,0.0,430.0,2324.0,0.0,
15047,,0.0,0.0,0.0,0.0,1042.0,6000.0,0.0,
15049,,0.0,1.0,0.0,1.0,586.0,3099.0,3.0,
15050,,0.0,0.0,0.0,0.0,2095.0,10332.0,0.0,
15051,,0.0,0.0,0.0,0.0,653.0,6809.0,0.0,
