zip,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Shortage_PF
15443,,0,0,0,1,2515,5595,
15444,,1,1,1,1,2748,8263,
15445,,1,1,1,1,3776,10839,
15446,,0,0,0,1,2382,6827,
15447,,0,0,0,0,1615,5452,
15449,,0,0,0,1,1097,4644,
15450,,0,0,0,0,1615,5452,
15451,,0,0,0,1,2427,6296,
15454,,0,0,0,1,2515,5595,
15455,,0,0,0,0,1373,4705,
15456,,1,1,1,1,6096,18828,
15458,,0,0,0,1,2515,5595,
15459,,0,0,0,0,2122,14462,
15460,,0,0,0,1,2427,6296,
15461,,1,1,1,1,8241,19714,
15462,,0,0,0,1,2382,6827,
15463,,1,1,1,1,4103,18232,
15464,,0,0,0,1,3244,14058,
15465,,1,1,1,1,1268,3644,
15466,,0,0,0,0,590,2810,
15467,,0,0,0,1,2427,6296,
15468,,1,1,1,1,7715,28471,
15469,,0,0,0,1,3602,11928,
15470,,0,0,0,0,2122,14462,
15472,,0,1,0,1,1455,3471,
15473,,1,1,1,1,3987,16374,
15474,,0,0,0,1,2427,6296,
15476,,0,0,0,1,2515,5595,
15477,,1,1,1,1,1148,4732,
15478,,0,0,0,1,8157,21882,
15480,,0,0,0,1,4970,19599,
15482,,0,0,0,0,1152,4550,
15483,,0,0,0,0,641,2983,
15484,,0,0,0,0,538,5210,
15485,,0,0,0,1,923,5164,
15486,,1,1,1,1,3763,13704,
15488,,0,0,0,1,1680,7272,
15489,,0,0,0,1,2569,7832,
15490,,0,0,0,1,3602,11928,
15492,,0,0,0,0,1152,4550,
15502,,0,0,0,0,2065,7400,
15510,,1,1,1,1,2377,10471,
15520,,0,0,0,1,2044,6132,
15532,,0,0,0,0,1131,3171,
15534,,0,0,0,0,903,3515,
15538,,0,0,0,0,903,3515,
15540,,0,0,0,1,2735,13499,
15541,,0,0,0,1,5909,20671,
15542,,0,0,0,1,4570,16135,
15544,,0,0,0,1,2044,6132,
