Zip,ProductQuantity
16101,4
16101,16
16101,10
16059,50
15220,4
15220,3
15220,2
15220,173
15212,2
15025,6
15025,149
15210,1023
15221,5
15221,5
15221,502
15214,55
15227,1
15227,3
15227,12
15227,6
15104,3
15106,471
15219,4
15219,10
15219,103
15219,4
15132,101
15239,6
15239,697
15228,274
15212,6
15136,6
15136,10
15207,1
15207,1
15207,101
15212,5
15108,1
15108,140
15132,13
15120,2
15120,303
15218,4
15218,4
15218,89
15005-1716,3
15219,31
15219,31
15219,39
15219,39
15219,32
15219,32
15236,2
15236,1
15236,238
15024,1
15024,697
15147,1386
15221,137
15701,390
15133,2
15133,177
15229,2
15229,2
15229,2
15229,2
15229,89
15221,160
15132,126
16101,-61
15206,1
15206,4
15206,13
15206,12
15206,13
15206,6
15206,2
15206,16
15206,15
15206,3
15206,9
15206,10
15206,1
15206,5
15208,-24
15206,6
15206,6
15206,6
15206,6
15034,4
15034,5
15010,30
15010,29
15010,30
15010,16
15010,20
15010,20
15010,30
15010,30
15206,11
15206,2
15206,6
15206,1
15206,8
15206,1
15206,1
15206,10
15206,4
15206,2
15217,2
15206,1
15206,16
15206,5
15206,8
15206,9
15206,1
15206,4
15206,7
15206,3
15206,13
15206,17
15206,1
15206,14
15206,7
15206,12
15206,1
15206,12
15206,14
15206,8
15206,6
15206,7
15206,8
15206,18
15206,11
15206,5
15206,1
15206,17
15206,5
15206,2
15206,3
15206,4
15206,1
15206,1
15206,3
15206,2
15206,21
15206,3
15206,32
15224,9
15224,9
15224,7
16105,2
15227,1
15227,9
15227,8
15227,4
15227,124
15206,7
15206,27
15206,1
15206,5
15206,12
15206,17
15206,6
15206,1
15206,3
15206,2
15206,2
15206,6
15206,9
15206,3
15206,3
15206,4
15206,2
15206,5
15206,3
15206,7
15206,7
15206,1
15206,6
15206,1
15206,3
15206,5
15206,1
15206,1
15206,21
15206,6
15206,3
15206,4
15206,9
15206,3
15206,12
15206,3
15206,8
15206,3
15206,2
15206,17
15206,18
15206,1
15206,6
15206,24
15206,18
15206,3
15206,9
15206,2
15206,6
15206,2
15206,3
15206,1
15206,22
15206,31
15206,5
15207,234
15140,64
15701,100
15701,100
15701,50
15701,50
15210,16
15210,8
15210,15
15037,1
15037,1
15037,4
15037,4
15037,304
15146,1
15146,1
15146,2
15146,1
15146,1
15146,2
15146,1
15146,1
15146,2
15146,2
15146,1
15146,4
15146,82
15235,4
15235,4
15235,4
15235,8
15235,4
15045,18
15045,5
15045,106
15045,5
15037,10
15037,3
15203,2
15214,5
15214,15
15214,10
15214,12
15214,13
15210,1
15210,2
15219,145
15935,6
15935,6
15935,17
15132,170
15210,541
15132,259
15235,292
15205,7
15205,7
15205,6
15212,495
15132,399
15221,1
15221,2
15221,1
15221,1
15221,2
15221,79
15025,1
15025,197
15238,1
15238,1
15238,1
15238,1
15238,1
15238,352
15110,238
15701,2
15701,2
15701,4
15701,4
15701,4
15701,4
15701,10
15068,1
15068,2
15068,74
15207,94
15210,1
15210,2
15210,2
15210,343
15236,131
15219,5
15219,98
15104,8
15035,10
15035,164
15035,10
15208,4
15208,4
15208,5
15208,74
15236,4
15236,10
15626,5704
15147,40
16101,214
15243,276
15108,267
16023,512
15208,478
15206,320
15226,21
15108,3
15108,317
15116,109
16101,10
16101,50
16101,50
16101,50
16101,50
15001,3252
15132,191
15424,10
15424,10
15424,12
15424,12
15424,10
15424,10
15061,0
15220,173
15131,253
15235,8
15235,10
15235,10
15235,10
15212,109
15219,8
15219,8
15219,16
15219,16
15219,1
15219,1
15219,1
15219,1
15219,1
15219,1
15219,1
15219,1
15219,2
15219,4
15219,5
15228,1
15228,1
15228,4
16101,5
16101,5
16101,5
16101,10
15202,1
15202,1
15202,1
15202,1
15202,1
15202,2
15202,3
15202,3
15202,3
15202,3
15140,1
15140,284
15101,243
15101,20
15101,20
15370,25
15205,1
15205,1
15205,1
15205,1
15205,2
15205,2
15205,1
15205,2
15205,2
15205,1
15205,2
15205,7
15120,370
15235,8
15235,6
15701,1
15701,2
15701,1
15003,10
15005-1716,2
15214,95
15102,4
15102,7
15110,20
15110,10
15110,20
15110,10
15110,10
15106,5
15206,6
15206,8
15206,4
15206,2
15206,4
15212,2
15132,49
15239,4
15239,4
15239,434
15001,2
15222,3
15221,114
15557,3
15557,3
15557,6
15557,12
15557,12
15557,12
15557,5
15557,12
15221,141
15221,3
15221,3
15221,3
15221,5
15110,14
15212,4
15219,22
15219,22
15219,44
15219,44
15208,10
15208,10
15208,3
15220,4
15219,25
15219,25
15219,97
16001,2174
15219,16
15219,16
15219,31
15219,31
15701,1
15701,1
15701,2
15701,2
15701,2
15110,205
15108,1
15108,286
15132,8
15208,5
15208,5
15208,6
15208,6
15045,10
15045,160
15045,10
15045,10
15236,1
15236,1
15236,2
15236,62
15557,2
15557,2
15557,3
15557,5
15557,12
15243,1
15243,1
15243,1
15243,21
15037,2
15037,3
15216,5
15216,8
15206,12
15147,18
15147,10
15147,10
15147,20
15147,2180
15024,1
15024,2
15024,2
15024,322
15221,2
15221,32
15221,10
15221,10
15221,106
15236,3
15236,269
15132,240
15208,20
15140,194
15001,1
15001,1
15228,2
15228,416
15207,1
15207,204
15207,4
15207,99
15037,2
15037,4
15037,3
15037,3
15037,105
15146,2
15146,4
15146,4
15146,5
15146,8
15146,5
15025,270
15424,25
15146,1
15146,1
15146,2
15146,1
15146,1
15146,94
15104,9
15203,2
15210,1
15210,2
16101,5
16201,40
15219,2
15132,126
15905,2
15905,4
15905,4
15905,4
15904,123
15904,129
15904,166
15904,192
15963,84
15963,100
15146,1
15146,1
15146,2
15146,2
15210,1
15210,2
15210,227
15207,8
15207,30
15131,40
15236,401
15206,2
15206,1
15206,2
15206,3
15206,1
15206,5
15206,1
15206,7
15206,5
15206,3
15206,3
15206,1
15206,10
15206,1
15206,12
15206,2
15206,3
15206,7
15206,17
15206,4
15206,1
15206,33
15206,7
15206,25
15206,5
15206,4
15206,13
15206,11
15206,21
15206,1
15206,7
15206,8
15206,8
15206,12
15206,1
15206,13
15206,4
15206,8
15206,6
15206,8
15206,3
15206,4
15206,5
15206,6
15206,8
15206,8
15206,18
15206,11
15206,13
15206,9
15206,9
15206,14
15206,43
15206,6
15206,10
15206,4
15206,1
15206,1
15206,3
15206,5
15206,4
15206,4
15206,17
15206,1
15206,12
15206,12
15206,12
15206,1
15206,18
15206,8
15206,13
15206,27
15206,9
15206,13
15206,8
15206,1
15206,6
15206,18
15206,7
15206,21
15206,18
15206,23
15206,3
15206,18
15206,12
15206,3
15206,9
15206,15
15206,14
15206,11
15206,3
15206,1
15206,18
15206,13
15206,2
15206,9
15206,12
15206,27
15206,2
15206,7
15206,17
15206,8
15206,14
15206,2
15206,42
15206,3
15206,3
15206,22
15206,8
15206,5
15206,31
15206,4
15206,7
15206,4
15206,6
15206,1
15206,2
15206,3
15206,23
15206,14
15206,14
15206,6
15501,30
15501,60
15501,60
15501,30
15701,2
15214,1
15219,0
15219,4
15219,4
15219,4
15074,4
15074,2
15074,5
15074,5
15203,51
15132,1
15132,1
15132,1
15132,4
15132,3
15132,3
15132,3
15132,2
15132,1
15132,5
15132,2
15132,5
15214,234
15001,3
15001,3
15001,6
15224,2
15207,3
15207,114
15213,39
15219,8
15219,16
15219,16
15219,16
15110,9
15110,149
15110,167
15110,167
15110,334
15110,334
15106,1
15106,4
15106,6
15106,6
15106,10
15106,5
15213,2
15213,2
15213,2
15213,3
15213,4
15213,4
15213,4
15213,4
15213,3
15213,10
15904,217
15224,9
15224,6
15222,1
15222,2
15222,2
16201,4
16201,8
15905,4
16201,10
16001,10
16201,10
16001,10
16001,10
16001,10
16001,10
16001,10
15236,10
16001,10
16201,11
15905,9
15147,6
15147,5
16201,14
16201,14
16201,14
15206,15
15202-1730,15
16201,15
16201,15
15147,5
15102,18
15147,4
15226,20
15905,12
16001,20
16201,20
15226,10
15905,11
15208,22
15905,10
15905,11
15905,14
15061,25
16201,25
16001,25
15206,25
15061,30
15206,30
16001,30
16001,30
15236,25
15212,30
16001,30
16001,30
15219,30
15905,19
15202-1730,32
15205,14
15132,35
15147,20
16201,37
15210,39
15061,40
15219,40
15236,40
15219,40
15206,40
15212,45
15102,47
15236,30
15236,48
15226,25
15024,50
15136,50
15202,3
15202,2
15061,55
15219,60
15219,60
15905,40
15236,60
15024,65
16059,15
15223,19
15090,20
15905,52
15024,75
15090,20
16059,30
15701,45
15701,26
15701,12
15226,10
15090,50
15219,110
15090,35
15208,125
15219,135
15701,12
15144,62
15208,143
15090,50
15090,50
15223,84
15531,75
15208,180
15701,82
15226,5
15701,43
15146,14
15212,225
15219,20
15146,7
15219,10
15236,60
15212,270
15223,11
15530,58
15212,293
15212,300
15701,84
15226,10
15223,24
15010,40
15239,19
16059,125
15102,40
15061,100
15701,10
15701,199
15212,407
15212,450
15061,5
15102,84
15226,48
15226,225
15010,200
15226,70
15045,129
15061,20
15045,41
15061,22
15061,892
15220,165
15045,10
15045,20
15045,375
15214,218
15104,5
15104,5
16033,6
16033,6
15132,1
15132,3
15132,4
15132,142
15221,368
15207,2
15207,334
15239,4
15239,4
15239,6
15239,6
15239,6
15239,6
15239,6
15239,6
15239,6
15239,6
15239,651
15110,70
15120,20
15120,10
15221,1
15221,1
15221,1
15221,1
15221,1
15221,1
15221,1
15221,2
15221,61
15122,6
15212,8
15212,24
15212,12
15212,40
15120,3
15120,7
15120,1
15205,1
15136,6
15219,20
15219,18
15219,88
15110,2
15110,10
15110,182
15108,1
15108,146
15037,2
15037,3
15120,2
15120,2
15120,4
15120,172
15226,6
15226,10
15226,9
15226,14
15226,14
15226,4
15226,7
15226,8
15226,8
15226,16
15226,14
15218,3
15218,3
15218,3
15218,2
15133,1
15133,2
15133,2
15133,2
15133,2
15133,2
15133,92
15219,1
15219,2
15219,1
15219,5
15219,3
15221,234
15221,10
15219,25
15219,46
15219,19
15219,16
15219,12
15219,62
16101,50
16101,50
16101,100
15221,3
15221,489
15229,4
15229,2
15132,1
15132,1
15132,131
15206,2
15206,20
15206,20
15218,4
15218,4
15218,4
15218,6
15218,6
15218,6
15218,6
15218,6
15206,12
15206,22
15206,3
15206,2
15206,12
15206,14
15206,2
15206,24
15206,19
15206,20
15206,17
15206,2
15206,2
15206,3
15206,13
15206,12
15206,3
15206,9
15206,3
15206,8
15206,20
15206,33
15206,2
15206,3
15206,24
15206,18
15206,8
15206,5
15206,13
15206,3
15206,10
15206,3
15206,5
15206,18
15206,4
15206,25
15206,3
15206,14
15206,3
15206,10
15206,3
15206,2
15206,17
15206,5
15206,12
15206,27
15206,2
15206,1
15206,17
15206,27
15206,2
15206,21
15206,1
15206,1
15206,6
15206,11
15206,6
15206,14
15206,7
15206,5
15206,23
15206,2
15206,3
15206,13
15206,3
15206,1
15206,2
15206,2
15206,12
15206,1
15206,3
15206,3
15206,3
15206,4
15206,5
15206,4
15206,1
15212,955
15213,10
15236,61
15010,20
15417,82
15213,2
15213,4
15213,4
15205,9
15205,9
15214,5
15214,7
15214,7
15214,12
15214,10
15214,10
15133,1
15133,517
15701,3
15203,1
15203,1
15203,1
15203,1
15146,1
15146,1
15146,1
15146,1
15146,2
15146,2
15146,1
15146,2
15146,49
15203,-20
15206,6
15206,6
15203,2
15203,2
15210,1
15701,50
15132,430
15235,320
15132,1
15132,1
15212,3
15212,3
15116,1
15116,1
15116,1
15116,1
15116,1
15116,1
15116,2
15116,1
15116,1
15116,1
15116,2
15116,2
15116,2
15207,432
15213,2
15213,2
15213,2
15213,2
15213,2
15213,2
15010,34
15010,34
15010,67
15010,67
15010,67
15226,2
15226,2
15226,3
15210,455
15035,5
15035,5
15035,5
15035,8
15035,10
15035,751
15236,149
15088,3
15088,3
15108,3
15108,3
15108,3
15108,2
15108,226
15061,10
16001,10
16001,10
16001,15
16001,15
15102,20
16001,20
15208,20
15061,25
16001,25
16001,25
15202-1730,30
15236,32
15236,40
15223,10
15147,24
15024,70
15212,75
15212,83
15475,90
15236,50
15552,60
15530,50
15475,122
15238,7
15208,140
15219,150
15530,24
15212,345
15212,345
15102,10
15221,578
15010,400
16059,3568
15061,167
15206,348
15201,1
15201,1
15201,4
15201,4
15201,4
15201,2
15201,8
15201,8
15201,6
15201,6
15201,10
15201,10
15201,24
16117,4
16117,10
16117,15
16117,25
16117,30
16117,33
16117,22
16117,48
15207,573
15065,639
15213,100
15219,85
15001,491
15219,8
15219,8
15219,16
15219,16
15219,6
15213,4
15213,4
15213,11
15213,8
15224,3
15224,4
15224,5
15037,334
15219,443
15206,664
15136,438
15221,474
15065,236
15110,-55
15101,10
15101,361
15208,183
15207,130
15208,114
15213,3
16050,269
15501,1206
15224,333
15219,420
15207,284
15132,386
16117,2850
15235,10
15235,10
16059,20
15056,1
15220,1
15220,2
15220,5
15220,4
15220,2
15136,10
15136,10
15136,10
15219,4
15219,6
15219,3
15210,688
15025,6
15025,6
15025,8
15025,149
15025,8
15221,145
15214,2
15214,1
15214,156
15227,4
15227,3
15106,5
15106,359
15205,9
15205,9
15108,10
15108,8
15108,20
15126,3
15126,5
16059,18
16059,36
16059,34
15701,1
15701,1
15701,2
15531,3
15147,5
15202-1730,13
15084,6
15084,3
15531,15
15531,19
15084,6
15084,8
15531,20
15531,22
15120,40
15223,24
15144,30
15212,120
15701,43
15212,180
15531,78
15212,196
15024,200
15212,225
15212,225
16059,50
16059,5
15101,25
15101,15
15101,50
15101,35
15101,25
16059,40
15120,865
15101,25
15212,1340
15101,200
15045,24
15206,2
15206,22
15206,2
15206,12
15206,1
15206,1
15206,15
15206,2
15206,18
15206,2
15206,12
15239,6
15239,520
15212,4
15212,4
15701,12
15222,2
15219,254
15222,2
15222,3
15222,3
15222,3
15222,3
15222,2
15222,3
15222,2
15222,4
15223,2
15223,2
15223,2
15223,2
15223,2
15223,3
15223,2
15223,2
15223,4
15205,6
15205,6
15701,1
15701,1
15701,1
15701,2
15108,133
15212,6
15037,5
15037,10
15037,10
15037,4
15037,11
15037,11
15037,6
15140,339
15037,61
15221,3
15221,3
15221,5
15221,4
15221,4
15221,5
15221,5
15221,5
15221,10
15221,10
16001,4
16001,4
16001,3
16001,4
15065,3
15065,10
15236,3
15236,3
15236,2
15236,2
15236,4
15236,6
15236,5
15236,3
15236,6
15236,1
15236,30
15147,844
15024,1
15024,1
15024,2
15024,78
15221,241
15221,18
15219,2
15229,2
15229,2
15229,4
15229,2
15229,4
15229,191
15110,10
15110,10
15110,10
15132,2
15132,2
15132,2
15132,34
15226,7
15045,2
15045,2
15045,2
15045,2
15045,214
15206,2
15206,4
16001,30
16001,40
16001,40
16001,40
16001,26
16001,82
15221,250
16201,93
16201,70
16201,93
16201,93
15217,3
15147,1
15147,2
15147,2
15132,61
15116,1
15116,3
15003,3
15003,4
15003,3
15003,10
15003,10
15003,10
15003,10
15003,7
15003,6
15003,17
15003,10
15003,21
15003,25
16001,5
16001,10
15213,13
15212,18
16001,19
16001,20
15045,7
15219,40
15211,46
15211,46
15045,17
15045,9
15701,14
15219,80
15045,26
15219,89
15108,91
15147,18
15219,110
15108,113
15905,106
15701,26
15108,247
15905,161
15219,308
15108,313
15905,100
15222,65
15108,396
15108,400
15212,435
15222,60
15045,84
15228,4
15228,4
15228,4
15228,4
15228,2
15207,338
15208,3
15208,3
15236,4
15236,4
15236,2
15025,469
15037,52
15146,1
15146,1
15146,1
15146,2
15146,2
15146,1
15146,3
15228,160
15137,1
15137,1
15148,3
16105,1
16105,1
15222,184
15701,3
15701,4
15122,1
15122,1
15122,2
15122,2
15122,2
15132,1
15226,5
15110,55
15207,70
15132,175
16117,14
15122,9
15213,175
16117,9
15236,437
15145,4
15145,6
15210,1
15210,1
15210,419
15131,3
15131,4
15131,6
15131,6
15131,6
15131,3
15131,2
15131,3
15131,3
15131,6
15131,3
15131,98
15222,132
15206,409
15132,926
15224,4
15102,4
15102,140
15212,6
15236,4
15236,4
15235,3
15235,3
15132,1
15235,10
15206,15
15206,1
15206,3
15206,10
15206,2
15206,1
15206,1
15206,13
15206,4
15206,17
15206,2
15206,2
15206,6
15206,15
15206,14
15206,3
15206,4
15206,10
15206,6
15206,21
15206,1
15206,11
15206,1
15206,2
15206,7
15206,5
15206,8
15206,1
15206,2
15206,4
15206,3
15206,6
15206,15
15206,4
15206,27
15206,8
15206,1
15206,7
15206,1
15206,18
15206,5
15206,1
15206,7
15206,3
15206,4
15206,1
15206,6
15206,5
15206,10
15206,9
15206,18
15206,8
15206,3
15206,1
15206,19
15206,1
15206,2
15206,2
15206,19
15206,18
15206,4
15206,2
15206,1
15206,4
15206,4
15206,5
15206,1
15206,2
15206,1
15206,5
15206,4
15206,18
15206,1
15206,27
15206,6
15206,4
15206,3
15206,16
15206,8
15206,1
15206,4
15206,8
15206,2
15206,5
15206,3
15206,3
15206,3
15206,18
15206,11
15206,12
15206,12
15206,1
15206,3
15206,1
15120,3
15120,3
15120,3
15120,4
15206,35
15206,2
15206,2
15206,12
15206,26
15206,32
15206,3
15236,12
15147,5
15226,10
15102,31
15226,20
15219,60
15236,35
15219,80
15208,128
15102,68
15226,20
15226,75
15213,1
15207,1
15207,1
15207,1
15207,2
15207,4
15207,3
15207,2
15207,2
15207,2
15136,5
15140,253
15201,3
15101,86
15101,12
15101,20
16101,20
15003,18
15003,18
15003,18
15003,18
15238,1
15238,1
15238,1
15238,1
15238,2
15238,2
15238,123
16037,3
16037,7
15045,299
15061,5
16101,6
16101,10
16101,12
16101,14
16101,16
16101,17
16101,18
16101,18
16101,19
16101,20
16101,20
16101,25
16101,27
16101,27
16101,30
15212,30
16101,31
16101,31
16101,31
16101,34
16101,40
16101,47
16101,48
16101,70
16101,70
16101,72
16101,72
16101,74
15024,75
15061,75
15212,360
15061,40
15061,340
15061,156
15061,305
15207,73
15222,1
16101,1
16101,1
16101,6
16101,4
16101,16
16101,16
16101,12
16059,3
15475,155
15221,216
15214,225
15212,3
15204,2
15104,148
15005-1716,5
15005-1716,4
15005-1716,2
15005-1716,4
15005-1716,3
15132,147
15221,1
15221,1
15221,1
15221,1
15221,1
15221,1
15221,1
15221,1
15221,115
15239,683
15236,2
15236,4
15010,30
15010,30
16023,3
16023,3
16023,4
16023,12
16023,8
15904,-20
15132,261
15212,6
15212,12
15110,277
15219,13
15219,33
15102,5
15065,2522
15108,119
15210,15
15206,1
15206,8
15206,4
15206,3
15206,8
15206,10
15206,8
15206,7
16057,9
16057,8
16057,8
16057,8
16057,5
16057,10
15205,2
15205,2
15236,1
15236,2
15227,4
15227,4
15227,67
15219,17
15219,45
15219,2
15219,5
15219,27
15219,71
15147,980
15133,335
15146,262
15221,315
15227,2
15227,4
15227,3
15227,6
15227,257
15218,256
15045,104
15221,103
15147,1
15147,1
15132,1
15132,117
15206,1
15206,1
15206,4
16201,10
16105,1
15224,1
15224,1
15205,9
15205,9
15003,10
15140,159
15213,380
15108,485
15417,176
15417,400
15001,1
15065,2
15214,3
15214,5
15214,3
15214,5
15214,12
15214,12
15214,12
15214,12
15214,5
15122,5
15037,2
15037,2
15037,2
15037,2
15037,236
15133,331
15212,285
15424,10
15424,20
15424,20
15424,20
15203,1
15203,2
15203,2
15203,1
15146,1
15146,1
15146,1
15146,1
15146,1
15146,1
15146,2
15146,2
15146,2
15146,1
15146,1
15146,1
15146,99
15905,44
15905,170
15905,102
15501,75
15203,2
15203,2
15203,2
15210,1
15210,2
15210,2
15210,2
15935,4
15935,3
15935,22
15935,6
15935,18
15935,20
15701,1
15701,1
15701,1
15701,1
15701,1
15701,2
15701,3
15701,2
15701,4
15701,4
15701,6
15208,436
15235,357
15110,4764
15212,69
15701,24
15701,137
15701,112
15701,224
15206,1
15206,1
15206,2
15206,65
15226,3
15001,3
15001,10
15001,10
15059,7
15059,8
15059,7
15059,7
15059,6
15059,3
15145,6
15145,3
15207,1
15207,1
15207,1
15210,1
15210,129
15222,1
15222,1
15222,2
15222,1
15222,1
15222,2
15222,2
15222,2
15222,1
15001,18
15001,893
15001,73
15210,1
15210,442
15144,5
15236,35
15131,309
15530,0
15530,5
15530,10
15221,187
15035,5
15035,5
15035,157
15131,3
15208,1
15208,3
15108,1
15108,1
15108,3
15104,10
15213,55
15110,-49
16059,20
15236,4
15236,3
15236,2
15236,8
15236,8
15219,16
15219,16
15005-1716,2
16023,4
15101,10
15101,10
15101,212
15222,1
15222,1
15222,3
15222,1
15222,3
15222,4
15222,4
15120,95
15045,176
15106,223
15218,2
15218,4
15218,4
15222,1
15025,4
15025,44
15025,4
15025,8
15025,6
15219,4
15219,198
15214,366
15129,135
15227,1
15227,2
15132,38
15106,6
15106,6
15211,8
15211,10
15205,9
15205,9
15210,68
15205,1
15205,2
15239,6
15239,6
15239,6
15239,6
15239,6
15239,193
15235,5
15034,2
15034,4
15221,1
15221,1
15221,1
15221,1
15221,1
15221,1
15221,1
15221,1
15221,65
15212,6
15701,1
15701,1
15701,1
15701,2
15220,4
15220,4
15220,6
15208,5
15108,1
15108,126
15701,1
15701,2
15701,1
15701,2
15065,5
15133,75
15132,6
16101,4
16101,4
15221,152
15236,151
15236,3
15236,6
15218,1
15218,3
15218,3
15218,109
15147,10
15147,912
15221,112
15221,5
15221,319
15132,64
16057,2
15065,238
15116,237
16117,1756
15219,209
15212,222
16115,210
15212,1138
15120,65
15025,1
15025,1
15025,1
15025,1
15037,377
15147,275
15208,5
15201,74
15221,374
16059,1185
15219,65
15224,1
15475,34
15475,34
15140,189
15219,1
15219,1
15219,1
15219,1
15219,1
15219,3
15219,4
15146,3
15132,272
15037,2
15037,2
15210,1
15210,213
15037,3
15037,420
15025,396
15059,4
15059,12
15146,1
15146,2
15146,2
15146,1
15146,1
15146,1
15146,1
15146,1
15146,2
15146,2
15146,2
15146,25
15146,1
15235,5
15235,5
15235,8
15235,10
15235,16
15216,15
15206,5
15204,50
16101,351
16050,335
16105,80
15104,326
15045,5
15208,190
15217,2
15217,2
15217,2
15206,6
15235,10
15132,279
15235,5
15235,4
15206,6
15206,6
15146,3
15146,3
15146,2
15146,5
15146,6
15110,327
15025,106
15025,17
15025,17
15904,187
15904,188
15904,345
15926,10
15926,10
15926,10
16101,754
15037,6
15037,3
15236,334
15207,18
15203,2
15203,2
15203,2
15212,116
15219,4
15219,4
15219,5
15219,6
